pathology_conf,tooth_conf,predict_iou,predictions,aggregate_AP,aggregate_AP50,aggregate_AP75,aggregate_AR
0.15,0.25,0.5,408,0.15226663418423356,0.25950887463102323,0.1509656190099398,0.24057904878050462
0.15,0.25,0.55,408,0.15226663418423356,0.25950887463102323,0.1509656190099398,0.24057904878050462
0.15,0.25,0.45,406,0.15264775577119669,0.25536776991456916,0.15251569983592064,0.2400582154471713
0.25,0.15,0.45,405,0.14538490071051582,0.25409259366907233,0.13850746188780305,0.23411311987021297
0.25,0.15,0.5,405,0.14537744911703804,0.25407436248989695,0.13850199414828443,0.23411311987021297
0.25,0.15,0.55,406,0.14535994102991803,0.2540428949492454,0.13847965432724657,0.23411311987021297
0.15,0.15,0.45,466,0.14743852106704192,0.2532705494608929,0.1441016428226519,0.24508318531794995
0.15,0.15,0.5,468,0.1472548369302963,0.2529342830880397,0.14389708740400767,0.24508318531794995
0.15,0.15,0.55,468,0.14722093508982526,0.2528701360137526,0.14387423586385548,0.24508318531794995
0.25,0.25,0.45,362,0.1432469916374363,0.25125054112323625,0.1344955361676009,0.23071205399831962
0.25,0.25,0.5,364,0.14323603090845996,0.25122415975589724,0.13448685117263895,0.23071205399831962
0.25,0.25,0.55,364,0.14323603090845996,0.25122415975589724,0.13448685117263895,0.23071205399831962
0.35,0.35,0.45,263,0.14470487794268852,0.2509416958726063,0.1385822848895966,0.22013159220379763
0.35,0.35,0.5,263,0.14470487794268852,0.2509416958726063,0.1385822848895966,0.22013159220379763
0.35,0.35,0.55,264,0.14468836470978275,0.25091362125352723,0.13855905568074176,0.22013159220379763
0.15,0.35,0.45,344,0.149081378701132,0.24486060267721874,0.15357784873804223,0.22800781546096938
0.15,0.35,0.55,344,0.14907523102357395,0.24484986517023713,0.15357146939761163,0.22800781546096938
0.15,0.35,0.5,344,0.14907523102357395,0.24484986517023713,0.15357146939761163,0.22800781546096938
0.25,0.35,0.45,321,0.14318837715139554,0.24379508991135027,0.1421787566377398,0.221474840066894
0.25,0.35,0.5,321,0.14318202463067012,0.24378268632326897,0.14217230218119406,0.221474840066894
0.25,0.35,0.55,321,0.14318202463067012,0.24378268632326897,0.14217230218119406,0.221474840066894
0.35,0.25,0.45,280,0.14175272553117027,0.2401396231316056,0.13783084341921384,0.22118054467682716
0.35,0.25,0.5,280,0.14175191775808527,0.24013846917005557,0.13782968945766386,0.22118054467682716
0.35,0.25,0.55,281,0.14173547933189315,0.2401106856166683,0.13780646300568763,0.22118054467682716
0.35,0.15,0.45,290,0.14105156345229294,0.23806164478338013,0.1387242531534189,0.21755650025707904
0.35,0.15,0.5,290,0.14105156345229294,0.23806164478338013,0.1387242531534189,0.21755650025707904
0.35,0.15,0.55,291,0.14103708186862565,0.2380373008677299,0.13870309905770203,0.21755650025707904
