experiment,pathology_model,tooth_model,imgsz,mosaic,scale,degrees,tta,assignment_mode,n_predictions,quadrant_AP50,enumeration_AP50,diagnosis_AP50,aggregate_AP50,quadrant_AP,enumeration_AP,diagnosis_AP,aggregate_AP,aggregate_AP75,aggregate_AR
baseline_with_tta,yolo11n.pt,yolo11n.pt,1024,0.1,0.15,8.0,True,hungarian,364,0.0014841386219405293,0.32713424823816617,0.425054092407585,0.25122415975589724,0.0008399553454208859,0.18280431458901877,0.24606382279094025,0.14323603090845996,0.13448685117263895,0.23071205399831962
baseline_yolo11n_1024,yolo11n.pt,yolo11n.pt,1024,0.1,0.15,8.0,False,hungarian,194,0.0012919055063401075,0.2966760269568472,0.4040654985314663,0.23401114366488454,0.0007436598923050199,0.18890359942655804,0.2501299933714981,0.14659241756345373,0.17121281894578463,0.2099006632336545
larger_pathology_yolo11s,yolo11s.pt,yolo11n.pt,1024,0.1,0.15,8.0,False,hungarian,212,0.0021710730855694265,0.24881011036494802,0.42121391657673285,0.2240650333424168,0.0015610860806997268,0.15644373248463309,0.25975140792138546,0.13925207549557275,0.15744757743986085,0.20425209335095507
low_augmentation,yolo11n.pt,yolo11n.pt,1024,0.0,0.05,3.0,False,hungarian,185,0.0014819230475171068,0.2921553435171359,0.3712399788477435,0.22162574847079886,0.0009850037064307404,0.17795870744952277,0.24371429343929663,0.14088600153175004,0.1610020873409004,0.19337440759452232
higher_resolution_1280,yolo11n.pt,yolo11n.pt,1280,0.1,0.15,8.0,False,hungarian,161,0.0033070108630296226,0.21389638692175383,0.32868564707704373,0.1819630149539424,0.0025947408506032787,0.1462956882124223,0.21111242722696733,0.1200009520966643,0.13627271330096338,0.17133403748314321
