experiment,pathology_model,tooth_model,imgsz,mosaic,scale,degrees,tta,assignment_mode,n_predictions,quadrant_AP50,enumeration_AP50,diagnosis_AP50,aggregate_AP50,quadrant_AP,enumeration_AP,diagnosis_AP,aggregate_AP,aggregate_AP75,aggregate_AR
assignment_nearest,yolo11n.pt,yolo11n.pt,1024,0.1,0.15,8.0,True,nearest,645,0.0013573318331670328,0.3571062282515706,0.5140935708789472,0.29085237698789496,0.0007760842035075177,0.20459980610733938,0.30393291808375106,0.16976960279819933,0.16671617676722095,0.2908826061949643
assignment_iou_first,yolo11n.pt,yolo11n.pt,1024,0.1,0.15,8.0,True,iou_first,406,0.0012873904023262366,0.33424526872318305,0.47319341546763444,0.26957535819771455,0.0007214420732134065,0.1859523285081013,0.2830584282727678,0.1565773996180275,0.15470227155815033,0.24970452555123934
assignment_hungarian,yolo11n.pt,yolo11n.pt,1024,0.1,0.15,8.0,True,hungarian,408,0.0014989939374550002,0.3499504503925532,0.4270771795630615,0.25950887463102323,0.0008458525664009265,0.20298581051983236,0.2529682394664674,0.15226663418423356,0.1509656190099398,0.24057904878050462
