metric,mean,ci_low,ci_high
AP,0.17693217770699626,0.13626284891959206,0.21234517360931104
AP50,0.2979681880298917,0.2412535266671269,0.35300184581953614
AP75,0.1781679052041391,0.12435023742126643,0.23139821656848117
AR,0.2897924829523592,0.25095152980919266,0.32674742557357495
